x,y
8.8944,19.8126
8.9145,19.8481
8.9345,19.8836
8.9545,19.9191
8.9745,19.9547
8.9945,19.9902
9.0145,20.0258
9.0345,20.0614
9.0545,20.097
9.0745,20.1326
9.0945,20.1683
9.1146,20.204
9.1346,20.2397
9.1546,20.2754
9.1746,20.3111
9.1946,20.3469
9.2146,20.3826
9.2346,20.4184
9.2546,20.4542
9.2746,20.49
9.2946,20.5259
9.3147,20.5617
9.3347,20.5976
9.3547,20.6335
9.3747,20.6694
9.3947,20.7054
9.4147,20.7413
9.4347,20.7773
9.4547,20.8133
9.4747,20.8493
9.4947,20.8853
9.5148,20.9213
9.5348,20.9574
9.5548,20.9934
9.5748,21.0295
9.5948,21.0656
9.6148,21.1017
9.6348,21.1379
9.6548,21.174
9.6748,21.2102
9.6948,21.2463
9.7149,21.2825
9.7349,21.3188
9.7549,21.355
9.7749,21.3912
9.7949,21.4275
9.8149,21.4638
9.8349,21.5
9.8549,21.5363
9.8749,21.5727
9.8949,21.609
9.915,21.6453
9.935,21.6817
9.955,21.7181
9.975,21.7545
9.995,21.7909
10.015,21.8273
10.035,21.8637
10.055,21.9002
10.075,21.9367
10.095,21.9731
10.1151,22.0096
10.1351,22.0461
10.1551,22.0827
10.1751,22.1192
10.1951,22.1557
10.2151,22.1923
10.2351,22.2289
10.2551,22.2655
10.2751,22.3021
10.2951,22.3387
10.3152,22.3753
10.3352,22.412
10.3552,22.4486
10.3752,22.4853
10.3952,22.522
10.4152,22.5587
10.4352,22.5954
10.4552,22.6321
10.4752,22.6688
10.4952,22.7056
10.5153,22.7423
10.5353,22.7791
10.5553,22.8159
10.5753,22.8527
10.5953,22.8895
10.6153,22.9263
10.6353,22.9631
10.6553,22.9999
10.6753,23.0368
10.6953,23.0737
10.7154,23.1105
10.7354,23.1474
10.7554,23.1843
10.7754,23.2212
10.7954,23.2582
10.8154,23.2951
10.8354,23.3321
10.8554,23.369
10.8754,23.406
10.8954,23.443
10.9155,23.4799
10.9355,23.517
10.9555,23.554
10.9755,23.591
10.9955,23.628
11.0155,23.6651
11.0355,23.7021
11.0555,23.7392
11.0755,23.7763
11.0955,23.8134
11.1156,23.8505
11.1356,23.8876
11.1556,23.9247
11.1756,23.9618
11.1956,23.999
11.2156,24.0361
11.2356,24.0733
11.2556,24.1105
11.2756,24.1476
11.2956,24.1848
11.3157,24.222
11.3357,24.2592
11.3557,24.2965
11.3757,24.3337
11.3957,24.3709
11.4157,24.4082
11.4357,24.4454
11.4557,24.4827
11.4757,24.52
11.4957,24.5573
11.5158,24.5946
11.5358,24.6319
11.5558,24.6692
11.5758,24.7065
11.5958,24.7439
11.6158,24.7812
11.6358,24.8186
11.6558,24.8559
11.6758,24.8933
11.6958,24.9307
11.7159,24.9681
11.7359,25.0055
11.7559,25.0429
11.7759,25.0803
11.7959,25.1177
11.8159,25.1552
11.8359,25.1926
11.8559,25.2301
11.8759,25.2675
11.8959,25.305
11.916,25.3425
11.936,25.38
11.956,25.4175
11.976,25.455
11.996,25.4925
12.016,25.53
12.036,25.5675
12.056,25.6051
12.076,25.6426
12.096,25.6802
12.1161,25.7177
12.1361,25.7553
12.1561,25.7929
12.1761,25.8305
12.1961,25.8681
12.2161,25.9057
12.2361,25.9433
12.2561,25.9809
12.2761,26.0185
12.2961,26.0562
12.3162,26.0938
12.3362,26.1315
12.3562,26.1691
12.3762,26.2068
12.3962,26.2445
12.4162,26.2821
12.4362,26.3198
12.4562,26.3575
12.4762,26.3952
12.4962,26.4329
12.5163,26.4706
12.5363,26.5084
12.5563,26.5461
12.5763,26.5838
12.5963,26.6216
12.6163,26.6593
12.6363,26.6971
12.6563,26.7349
12.6763,26.7726
12.6963,26.8104
12.7164,26.8482
12.7364,26.886
12.7564,26.9238
12.7764,26.9616
12.7964,26.9994
12.8164,27.0373
12.8364,27.0751
12.8564,27.1129
12.8764,27.1508
12.8964,27.1886
12.9165,27.2265
12.9365,27.2643
12.9565,27.3022
12.9765,27.3401
12.9965,27.378
13.0165,27.4159
13.0365,27.4538
13.0565,27.4917
13.0765,27.5296
13.0965,27.5675
13.1166,27.6054
13.1366,27.6434
13.1566,27.6813
13.1766,27.7192
13.1966,27.7572
13.2166,27.7951
13.2366,27.8331
13.2566,27.8711
13.2766,27.909
13.2966,27.947
13.3167,27.985
13.3367,28.023
13.3567,28.061
13.3767,28.099
13.3967,28.137
13.4167,28.175
13.4367,28.213
13.4567,28.2511
13.4767,28.2891
13.4967,28.3271
13.5168,28.3652
13.5368,28.4032
13.5568,28.4413
13.5768,28.4794
13.5968,28.5174
13.6168,28.5555
13.6368,28.5936
13.6568,28.6317
13.6768,28.6698
13.6968,28.7079
13.7169,28.746
13.7369,28.7841
13.7569,28.8222
13.7769,28.8603
13.7969,28.8984
13.8169,28.9366
13.8369,28.9747
13.8569,29.0128
13.8769,29.051
13.8969,29.0891
13.917,29.1273
13.937,29.1655
13.957,29.2036
13.977,29.2418
13.997,29.28
14.017,29.3182
14.037,29.3564
14.057,29.3946
14.077,29.4328
14.097,29.471
14.1171,29.5092
14.1371,29.5474
14.1571,29.5856
14.1771,29.6238
14.1971,29.6621
14.2171,29.7003
14.2371,29.7385
14.2571,29.7768
14.2771,29.815
14.2971,29.8533
14.3172,29.8915
14.3372,29.9298
14.3572,29.9681
14.3772,30.0064
14.3972,30.0446
14.4172,30.0829
14.4372,30.1212
14.4572,30.1595
14.4772,30.1978
14.4972,30.2361
14.5173,30.2744
14.5373,30.3127
14.5573,30.351
14.5773,30.3894
14.5973,30.4277
14.6173,30.466
14.6373,30.5044
14.6573,30.5427
14.6773,30.5811
14.6973,30.6194
14.7174,30.6578
14.7374,30.6961
14.7574,30.7345
14.7774,30.7729
14.7974,30.8112
14.8174,30.8496
14.8374,30.888
14.8574,30.9264
14.8774,30.9648
14.8974,31.0032
14.9175,31.0416
14.9375,31.08
14.9575,31.1184
14.9775,31.1568
14.9975,31.1952
15.0175,31.2336
15.0375,31.272
15.0575,31.3105
15.0775,31.3489
15.0975,31.3873
15.1176,31.4258
15.1376,31.4642
15.1576,31.5027
15.1776,31.5411
15.1976,31.5796
15.2176,31.6181
15.2376,31.6565
15.2576,31.695
15.2776,31.7335
15.2976,31.7719
15.3177,31.8104
15.3377,31.8489
15.3577,31.8874
15.3777,31.9259
15.3977,31.9644
15.4177,32.0029
15.4377,32.0414
15.4577,32.0799
15.4777,32.1184
15.4977,32.157
15.5178,32.1955
15.5378,32.234
15.5578,32.2725
15.5778,32.3111
15.5978,32.3496
15.6178,32.3881
15.6378,32.4267
15.6578,32.4652
15.6778,32.5038
15.6978,32.5423
15.7179,32.5809
15.7379,32.6195
15.7579,32.658
15.7779,32.6966
15.7979,32.7352
15.8179,32.7738
15.8379,32.8123
15.8579,32.8509
15.8779,32.8895
15.8979,32.9281
15.918,32.9667
15.938,33.0053
15.958,33.0439
15.978,33.0825
15.998,33.1211
16.018,33.1598
16.038,33.1984
16.058,33.237
16.078,33.2756
16.098,33.3142
16.1181,33.3529
16.1381,33.3915
16.1581,33.4302
16.1781,33.4688
16.1981,33.5074
16.2181,33.5461
16.2381,33.5847
16.2581,33.6234
16.2781,33.6621
16.2981,33.7007
16.3182,33.7394
16.3382,33.7781
16.3582,33.8167
16.3782,33.8554
16.3982,33.8941
16.4182,33.9328
16.4382,33.9714
16.4582,34.0101
16.4782,34.0488
16.4982,34.0875
16.5183,34.1262
16.5383,34.1649
16.5583,34.2036
16.5783,34.2423
16.5983,34.281
16.6183,34.3198
16.6383,34.3585
16.6583,34.3972
16.6783,34.4359
16.6983,34.4746
16.7184,34.5134
16.7384,34.5521
16.7584,34.5908
16.7784,34.6296
16.7984,34.6683
16.8184,34.7071
16.8384,34.7458
16.8584,34.7846
16.8784,34.8233
16.8984,34.8621
16.9185,34.9008
16.9385,34.9396
16.9585,34.9784
16.9785,35.0171
16.9985,35.0559
17.0185,35.0947
17.0385,35.1335
17.0585,35.1722
17.0785,35.211
17.0985,35.2498
17.1186,35.2886
17.1386,35.3274
17.1586,35.3662
17.1786,35.405
17.1986,35.4438
17.2186,35.4826
17.2386,35.5214
17.2586,35.5602
17.2786,35.599
17.2986,35.6378
17.3187,35.6767
17.3387,35.7155
17.3587,35.7543
17.3787,35.7931
17.3987,35.832
17.4187,35.8708
17.4387,35.9096
17.4587,35.9485
17.4787,35.9873
17.4987,36.0261
17.5188,36.065
17.5388,36.1038
17.5588,36.1427
17.5788,36.1815
17.5988,36.2204
17.6188,36.2593
17.6388,36.2981
17.6588,36.337
17.6788,36.3758
17.6988,36.4147
17.7189,36.4536
17.7389,36.4925
17.7589,36.5313
17.7789,36.5702
17.7989,36.6091
17.8189,36.648
17.8389,36.6869
17.8589,36.7258
17.8789,36.7646
17.8989,36.8035
17.919,36.8424
17.939,36.8813
17.959,36.9202
17.979,36.9591
17.999,36.9981
18.019,37.037
18.039,37.0759
18.059,37.1148
18.079,37.1537
18.099,37.1926
18.1191,37.2315
18.1391,37.2705
18.1591,37.3094
18.1791,37.3483
18.1991,37.3873
18.2191,37.4262
18.2391,37.4651
18.2591,37.5041
18.2791,37.543
18.2991,37.582
18.3192,37.6209
18.3392,37.6598
18.3592,37.6988
18.3792,37.7377
18.3992,37.7767
18.4192,37.8157
18.4392,37.8546
18.4592,37.8936
18.4792,37.9325
18.4992,37.9715
18.5193,38.0105
18.5393,38.0495
18.5593,38.0884
18.5793,38.1274
18.5993,38.1664
18.6193,38.2054
18.6393,38.2443
18.6593,38.2833
18.6793,38.3223
18.6993,38.3613
18.7194,38.4003
18.7394,38.4393
18.7594,38.4783
18.7794,38.5173
18.7994,38.5563
18.8194,38.5953
18.8394,38.6343
18.8594,38.6733
18.8794,38.7123
18.8994,38.7513
18.9195,38.7903
18.9395,38.8293
18.9595,38.8684
18.9795,38.9074
18.9995,38.9464
19.0195,38.9854
19.0395,39.0244
19.0595,39.0635
19.0795,39.1025
19.0995,39.1415
19.1196,39.1806
19.1396,39.2196
19.1596,39.2586
19.1796,39.2977
19.1996,39.3367
19.2196,39.3758
19.2396,39.4148
19.2596,39.4539
19.2796,39.4929
19.2996,39.532
19.3197,39.571
19.3397,39.6101
19.3597,39.6491
19.3797,39.6882
19.3997,39.7272
19.4197,39.7663
19.4397,39.8054
19.4597,39.8444
19.4797,39.8835
19.4997,39.9226
19.5198,39.9617
19.5398,40.0007
19.5598,40.0398
19.5798,40.0789
19.5998,40.118
19.6198,40.1571
19.6398,40.1961
19.6598,40.2352
19.6798,40.2743
19.6998,40.3134
19.7199,40.3525
19.7399,40.3916
19.7599,40.4307
19.7799,40.4698
19.7999,40.5089
19.8199,40.548
19.8399,40.5871
19.8599,40.6262
19.8799,40.6653
19.8999,40.7044
19.92,40.7435
19.94,40.7826
19.96,40.8218
19.98,40.8609
20.0,40.9
